1	3/2	2	136	3
1	3/2	5/2	52	1
1	3/2	3	648	11
1	3/2	7/2	66	1
1	2	3/2	136	3
1	2	5/2	632	11
1	2	3	64	1
1	2	7/2	920	13
1	5/2	3/2	52	1
1	5/2	2	632	11
1	5/2	3	904	13
1	5/2	7/2	76	1
1	3	3/2	648	11
1	3	2	64	1
1	3	5/2	904	13
1	3	7/2	408	5
1	7/2	3/2	66	1
1	7/2	2	920	13
1	7/2	5/2	76	1
1	7/2	3	408	5
3/2	1	2	644	3
3/2	1	5/2	252	1
3/2	1	3	3192	11
3/2	1	7/2	329	1
3/2	2	1	644	3
3/2	2	5/2	891	2
3/2	2	3	12879	26
3/2	2	7/2	2187	4
3/2	5/2	1	252	1
3/2	5/2	2	891	2
3/2	5/2	3	7533	14
3/2	5/2	7/2	2349	4
3/2	3	1	3192	11
3/2	3	2	12879	26
3/2	3	5/2	7533	14
3/2	3	7/2	20169	32
3/2	7/2	1	329	1
3/2	7/2	2	2187	4
3/2	7/2	5/2	2349	4
3/2	7/2	3	20169	32
2	1	3/2	312	1
2	1	5/2	7504	11
2	1	3	784	1
2	1	7/2	11536	13
2	3/2	1	312	1
2	3/2	5/2	5589	4
2	3/2	3	20493	13
2	3/2	7/2	3519	2
2	5/2	1	7504	11
2	5/2	3/2	5589	4
2	5/2	3	2304	1
2	5/2	7/2	2512	1
2	3	1	784	1
2	3	3/2	20493	13
2	3	5/2	2304	1
2	3	7/2	45824	17
2	7/2	1	11536	13
2	7/2	3/2	3519	2
2	7/2	5/2	2512	1
2	7/2	3	45824	17
5/2	1	3/2	396	1
5/2	1	2	9280	11
5/2	1	3	21160	13
5/2	1	7/2	1840	1
5/2	3/2	1	396	1
5/2	3/2	3	49815	14
5/2	3/2	7/2	15867	4
5/2	2	1	9280	11
5/2	2	3	5712	1
5/2	2	7/2	6290	1
5/2	3	1	21160	13
5/2	3	3/2	49815	14
5/2	3	2	5712	1
5/2	3	7/2	25000	3
5/2	7/2	1	1840	1
5/2	7/2	3/2	15867	4
5/2	7/2	2	6290	1
5/2	7/2	3	25000	3
3	1	3/2	5292	11
3	1	2	1024	1
3	1	5/2	24300	13
3	1	7/2	16456	5
3	3/2	1	5292	11
3	3/2	2	34128	13
3	3/2	5/2	65475	14
3	3/2	7/2	236439	32
3	2	1	1024	1
3	2	3/2	34128	13
3	2	5/2	17825	2
3	2	7/2	213696	17
3	5/2	1	24300	13
3	5/2	3/2	65475	14
3	5/2	2	17825	2
3	5/2	7/2	212675	12
3	7/2	1	16456	5
3	7/2	3/2	236439	32
3	7/2	2	213696	17
3	7/2	5/2	212675	12
7/2	1	3/2	567	1
7/2	1	2	15680	13
7/2	1	5/2	2200	1
7/2	1	3	18144	5
7/2	3/2	1	567	1
7/2	3/2	2	3096	1
7/2	3/2	5/2	11025	2
7/2	3/2	3	35721	4
7/2	2	1	15680	13
7/2	2	3/2	3096	1
7/2	2	5/2	10850	1
7/2	2	3	584073	34
7/2	5/2	1	2200	1
7/2	5/2	3/2	11025	2
7/2	5/2	2	10850	1
7/2	5/2	3	27048	1
7/2	3	1	18144	5
7/2	3	3/2	35721	4
7/2	3	2	584073	34
7/2	3	5/2	27048	1
Null
