1	2	3	64
1	2	4	544
---
 7
1	2	5	92
1	3	2	64
1	3	4	88
1	3	5	304
---
 3
1	4	2	544
---
 7
1	4	3	88
1	4	5	112
1	5	2	92
1	5	3	304
---
 3
1	5	4	112
2	1	3	784
2	1	4	992
2	1	5	1204
2	3	1	784
2	3	4	8704
----
 3
2	3	5	3328
2	4	1	992
2	4	3	8704
----
 3
2	4	5	40448
-----
 11
2	5	1	1204
2	5	3	3328
2	5	4	40448
-----
 11
3	1	2	1024
3	1	4	3672
3	1	5	13328
-----
  3
3	2	1	1024
3	2	4	41216
-----
  3
3	2	5	16128
3	4	1	3672
3	4	2	41216
-----
  3
3	4	5	28512
3	5	1	13328
-----
  3
3	5	2	16128
3	5	4	28512
4	1	2	9728
----
 7
4	1	3	4176
4	1	5	10912
4	2	1	9728
----
 7
4	2	3	19968
4	2	5	480256
------
  11
4	3	1	4176
4	3	2	19968
4	3	5	89424
4	5	1	10912
4	5	2	480256
------
  11
4	5	3	89424
5	1	2	1760
5	1	3	5280
5	1	4	11776
5	2	1	1760
5	2	3	25344
5	2	4	593920
------
  11
5	3	1	5280
5	3	2	25344
5	4	1	11776
5	4	2	593920
------
  11
Null
