point,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,phi_8
1,4.8248464444554591,-2.2331870243262646,-2.9228099414459479,1.0324523772490961,1.7852857333791361,-3.8072545488953073,0.43342085990067197,0.88724609968315615,143.06834071065455
2,-4.2468363452393536,-2.6925139138864722,1.9588501273234029,1.0665255664733895,2.5546248291258582,3.3904613022743151,-0.67892797837442997,-1.3521835876967092,1596.6906656887923
3,338.47458449874534,1.9552272954754288,-2.9075980473218599,-1.197633958924696,2.5693858620992742,-0.23830566468938286,-0.19993126142907616,-338.45572872395502,1.8596741954949536
4,10.561079424435661,2.2509044816090586,-1.5477512697900961,2.6614384617004552,2.6473283505005991,-4.58196767849231,-4.0943341130615396,-7.8966976569018286,3202.6918417669572
5,7.8742793708177476,0.86978322255172336,-1.4191215344074417,4.0242125172982508,-5.402406692748789,-1.3364979417572986,-1.0899735182238226,-3.5202754235303697,0.24780511245555223
6,4.882406817429243,-4.3785416430316753,-2.7686038235433097,-1.2693579149182455,-0.53242376723829632,-2.6531173779631549,1.9752947050281522,4.7443430042372858,11535.955881554442
7,30.228113514161532,0.098507424563892138,-1.6320361476653689,-1.5606271758640315,3.6808598107264014,0.75024964235370406,-1.7048718287279698,-29.860195239548158,8.6037869496436295e-11
8,7.6462706528432722,-0.14077971105214887,2.3657054852006096,-3.9072074534723389,-4.4993364010187173,0.63441430287842571,-3.7673350185184828,1.6682681431393807,3.057740988024791e-09
9,4.1055291509355145,1.5913494548037967,-0.2145421494310541,0.54343291401838156,0.23819627771200935,-1.0504322689950296,-4.0723390120125371,-1.1411943670310811,0.13241962910490856
10,4.7623953116248128,-0.26753894945547241,0.88961068182858427,-2.6469608667637647,-2.704043455009173,1.3321346677285286,-2.2536766824400374,0.88807929248652151,1.8787551061379773e-06
11,5.632607147235464,0.40540271410896256,-4.0231578192836279,-1.2463009165027508,1.8554480671497036,-2.4378391169064173,-1.6339361222960511,1.4477760464947167,0.00011991306921009485
12,3.8456116155684881,-0.79375584787687126,-2.3187657499792551,0.061463949663766004,-2.0845408695725789,-0.93203593753418956,0.025739507501204885,2.1962833322294357,1.2387904542457417e-05
13,-9.7949250952328235,-2.5875212234279314,1.1761970037064724,-3.2569992254022533,-1.3517726319199626,3.8438113340535507,4.8930773355870469,7.078132502635901,7004.8703231658719
14,-8.5725364976096436,0.26399064863593746,2.1024097992268471,4.7222312328709375,-4.8331134017492774,0.30328613535369636,1.3782126306733333,4.6355194525981691,1.643937986797898e-06
